"logFC" "t" "P.Value" "adj.P.Val" "B"
"Tmem164" 0.938825417882638 8.80768406890948 9.27145176184609e-12 7.9599899561785e-10 16.4146555554645
"Myh4" -2.85281694436809 -8.86869615824312 7.48867002674079e-12 6.75820733255969e-10 16.4023789080733
"Zfp423" 0.79746963542796 8.80159519331257 9.4713465230597e-12 8.00253611781695e-10 16.3973125741759
"Map4" 0.348287195591592 8.81410451291811 9.06527408452226e-12 7.82504658679654e-10 16.384869582704
"Idh2" 0.619325254889898 8.80417549139218 9.38611172272353e-12 8.00253611781695e-10 16.3829617448207
"LOC691995" -0.845912126820556 -8.78755246557911 9.94908095301792e-12 8.36194072309174e-10 16.3380024849699
"Akt2" 0.529857121440398 8.77671939019622 1.03341561332009e-11 8.64011200476887e-10 16.2933066647674
"Lrp4" 1.04251186361548 8.77129776599064 1.0532478507838e-11 8.70255676517489e-10 16.2655442997552
"Uaca" 1.26602703898107 8.72208518310443 1.25176095286377e-11 1.0146888658011e-09 16.2325272537202
"Wwtr1" 1.03654029527907 8.70058835885217 1.34992308478003e-11 1.08873342125516e-09 16.2190692737458
"Cars" -0.353140990703775 -8.74077568929709 1.17227381780967e-11 9.60002081877059e-10 16.1477491788666
"Vangl1" 0.714898212513476 8.66201386624148 1.54593041866515e-11 1.20424209052018e-09 16.1363768038969
"Ltbr" 0.885076346484372 8.68858234836276 1.40808527057112e-11 1.11869222317165e-09 16.1285647938465
"Htr1a" 1.00398157852264 8.67561824306802 1.47372767640014e-11 1.16504738932841e-09 16.1065834634248
"Ttc22" -1.36773645642512 -8.64909182936806 1.61780990396551e-11 1.2541168134187e-09 16.0924054926425
"Ptrf" 1.68986391406424 8.67034562111401 1.50129906066332e-11 1.18099727584889e-09 16.0874214057578
"Fcgrt" 1.25925057036884 8.69054595894339 1.39840284311002e-11 1.11655475008119e-09 16.0699987836451
"Fap" -2.7865326336956 -8.64430569616881 1.64527933661483e-11 1.26733979265735e-09 16.0610853925417
"Slc25a14" -0.514738654667187 -8.69060068021284 1.39813397905238e-11 1.11655475008119e-09 16.031354294314
"Slc6a12" 2.56218077018033 8.77137306790177 1.05296978780804e-11 8.70255676517489e-10 16.0291941516965
"Lect1" 3.13896791743131 8.73708136230473 1.1875712920183e-11 9.67567651134709e-10 15.8926867569926
"Trib2" -0.83146918162719 -8.66291451632129 1.54104210050898e-11 1.20424209052018e-09 15.8840695064228
"Cp" 1.82989841924506 8.59447606683712 1.96074468401799e-11 1.45633171437597e-09 15.8472356774312
"Slc9a3r1" 0.679898715947113 8.63522299823896 1.69870689979069e-11 1.28562324562832e-09 15.8379229329751
